"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pi16",0,3.09543591386537,0.895,0.394,0,"FAPs (Stem)","Pi16"
"Anxa3",0,2.40856536223926,0.885,0.399,0,"FAPs (Stem)","Anxa3"
"Sema3c",0,2.32951417018863,0.806,0.219,0,"FAPs (Stem)","Sema3c"
"Igfbp5",0,2.21530722737522,0.729,0.43,0,"FAPs (Stem)","Igfbp5"
"Pcolce2",0,2.0104816088036,0.882,0.39,0,"FAPs (Stem)","Pcolce2"
"Cd55",0,1.93717904040322,0.771,0.302,0,"FAPs (Stem)","Cd55"
"Efemp1",0,1.83920393404004,0.847,0.415,0,"FAPs (Stem)","Efemp1"
"Efhd1",0,1.83238217431251,0.691,0.092,0,"FAPs (Stem)","Efhd1"
"Ackr3",0,1.81300966981318,0.869,0.387,0,"FAPs (Stem)","Ackr3"
"Pla1a",0,1.72842739153166,0.702,0.239,0,"FAPs (Stem)","Pla1a"
"Ly6c1",0,1.71309918413928,0.964,0.644,0,"FAPs (Stem)","Ly6c1"
"Ugdh",0,1.62995799681525,0.856,0.582,0,"FAPs (Stem)","Ugdh"
"Tmem100",0,1.56251744980946,0.654,0.199,0,"FAPs (Stem)","Tmem100"
"Cd248",0,1.54386305793085,0.857,0.509,0,"FAPs (Stem)","Cd248"
"Procr",0,1.52855436217574,0.632,0.268,0,"FAPs (Stem)","Procr"
"Has1",0,1.51795744598901,0.626,0.388,0,"FAPs (Stem)","Has1"
"Sbsn",0,1.49746906147027,0.299,0.107,0,"FAPs (Stem)","Sbsn"
"Igfbp6",0,1.49610441561839,0.982,0.891,0,"FAPs (Stem)","Igfbp6"
"Pcsk6",0,1.43516489722483,0.726,0.331,0,"FAPs (Stem)","Pcsk6"
"Gfpt2",0,1.43415492474289,0.803,0.518,0,"FAPs (Stem)","Gfpt2"
"Dpp4",0,1.432846097192,0.591,0.084,0,"FAPs (Stem)","Dpp4"
"Uap1",0,1.41708380555814,0.838,0.632,0,"FAPs (Stem)","Uap1"
"Emilin2",0,1.37407217189898,0.751,0.361,0,"FAPs (Stem)","Emilin2"
"Gm12840",0,1.36493543459975,0.238,0.1,0,"FAPs (Stem)","Gm12840"
"Anxa1",0,1.33802569640985,0.948,0.823,0,"FAPs (Stem)","Anxa1"
"Mustn1",0,1.30158292461983,0.616,0.157,0,"FAPs (Stem)","Mustn1"
"Metrnl",0,1.30155429026978,0.772,0.456,0,"FAPs (Stem)","Metrnl"
"Fn1",0,1.28478761715007,0.975,0.711,0,"FAPs (Stem)","Fn1"
"Fbn1",0,1.24345273208727,0.944,0.818,0,"FAPs (Stem)","Fbn1"
"Stmn4",0,1.23408209187629,0.397,0.028,0,"FAPs (Stem)","Stmn4"
"Gpr133",0,1.22315550034631,0.678,0.267,0,"FAPs (Stem)","Gpr133"
"Gas7",0,1.22049792580287,0.576,0.262,0,"FAPs (Stem)","Gas7"
"Cadm3",0,1.19754984099517,0.626,0.181,0,"FAPs (Stem)","Cadm3"
"Cd34",0,1.18782227062329,0.969,0.841,0,"FAPs (Stem)","Cd34"
"Clec3b",0,1.1769804222119,0.975,0.839,0,"FAPs (Stem)","Clec3b"
"Hn1",0,1.16424240183887,0.837,0.575,0,"FAPs (Stem)","Hn1"
"Axl",0,1.15975334474962,0.913,0.757,0,"FAPs (Stem)","Axl"
"Qpct",0,1.15253596886122,0.696,0.321,0,"FAPs (Stem)","Qpct"
"Ecm1",0,1.14494708543242,0.899,0.759,0,"FAPs (Stem)","Ecm1"
"Car8",0,1.12844182159737,0.393,0.021,0,"FAPs (Stem)","Car8"
"Scara5",0,1.11112434233744,0.806,0.478,0,"FAPs (Stem)","Scara5"
"Timp2",0,1.10376846882208,0.987,0.953,0,"FAPs (Stem)","Timp2"
"Ppap2b",0,1.0776929427328,0.925,0.824,0,"FAPs (Stem)","Ppap2b"
"Tnfaip6",0,1.07553356168234,0.727,0.639,0,"FAPs (Stem)","Tnfaip6"
"Ly6a",0,1.07192680844441,0.99,0.892,0,"FAPs (Stem)","Ly6a"
"Smpd3",0,1.04683756377762,0.29,0.023,0,"FAPs (Stem)","Smpd3"
"Adamts5",0,1.04002362632362,0.854,0.669,0,"FAPs (Stem)","Adamts5"
"C3",0,1.03190183540933,0.844,0.598,0,"FAPs (Stem)","C3"
"Mfap5",0,1.02569808098421,0.985,0.94,0,"FAPs (Stem)","Mfap5"
"Krtdap",0,1.00260020974734,0.127,0.005,0,"FAPs (Stem)","Krtdap"
"Zfp385a",0,0.997820916766105,0.556,0.234,0,"FAPs (Stem)","Zfp385a"
"Nov",0,0.992505955237346,0.595,0.277,0,"FAPs (Stem)","Nov"
"Timp3",0,0.977304354319072,0.823,0.536,0,"FAPs (Stem)","Timp3"
"Ptx3",0,0.97507972944384,0.436,0.292,0,"FAPs (Stem)","Ptx3"
"Ppp1r14b",0,0.961927808032311,0.796,0.568,0,"FAPs (Stem)","Ppp1r14b"
"Dbn1",0,0.952420807750722,0.64,0.389,0,"FAPs (Stem)","Dbn1"
"Daglb",0,0.946903558777234,0.299,0.115,0,"FAPs (Stem)","Daglb"
"Lrrn4cl",0,0.936666391587811,0.777,0.494,0,"FAPs (Stem)","Lrrn4cl"
"Fndc1",0,0.936285345696872,0.901,0.709,0,"FAPs (Stem)","Fndc1"
"Tgfbr2",0,0.929838809543193,0.778,0.607,0,"FAPs (Stem)","Tgfbr2"
"Heg1",0,0.927444302248588,0.696,0.436,0,"FAPs (Stem)","Heg1"
"Thbd",0,0.925061720951307,0.622,0.339,0,"FAPs (Stem)","Thbd"
"Glul",0,0.892802237356288,0.644,0.496,0,"FAPs (Stem)","Glul"
"Tmem158",0,0.882390109325156,0.438,0.181,0,"FAPs (Stem)","Tmem158"
"Aif1l",0,0.88114645998741,0.357,0.053,0,"FAPs (Stem)","Aif1l"
"D630033O11Rik",0,0.876995512943115,0.408,0.149,0,"FAPs (Stem)","D630033O11Rik"
"Prss23",0,0.875701078037093,0.773,0.618,0,"FAPs (Stem)","Prss23"
"Dpt",0,0.871261343287234,0.976,0.899,0,"FAPs (Stem)","Dpt"
"Klf4",0,0.863503849757985,0.908,0.77,0,"FAPs (Stem)","Klf4"
"Atox1",0,0.860814570535972,0.89,0.774,0,"FAPs (Stem)","Atox1"
"Il18",0,0.860677671312369,0.378,0.081,0,"FAPs (Stem)","Il18"
"Creb5",0,0.849203503019261,0.53,0.222,0,"FAPs (Stem)","Creb5"
"Aldh1a3",0,0.840537489665753,0.273,0.051,0,"FAPs (Stem)","Aldh1a3"
"Tmsb4x",0,0.822477083422631,0.996,0.985,0,"FAPs (Stem)","Tmsb4x"
"Tnxb",0,0.821940627262129,0.884,0.689,0,"FAPs (Stem)","Tnxb"
"Uqcc2",0,0.810785168922123,0.792,0.641,0,"FAPs (Stem)","Uqcc2"
"Dact2",0,0.808843284907261,0.222,0.013,0,"FAPs (Stem)","Dact2"
"Gstm1",0,0.805340308725131,0.878,0.729,0,"FAPs (Stem)","Gstm1"
"1700019D03Rik",0,0.801607257582912,0.398,0.068,0,"FAPs (Stem)","1700019D03Rik"
"Ugp2",0,0.800705508139527,0.731,0.574,0,"FAPs (Stem)","Ugp2"
"Pamr1",0,0.796020208582218,0.519,0.214,0,"FAPs (Stem)","Pamr1"
"Gnpnat1",0,0.795307968310558,0.542,0.316,0,"FAPs (Stem)","Gnpnat1"
"Gngt2",0,0.794320710679037,0.374,0.118,0,"FAPs (Stem)","Gngt2"
"Tek",0,0.792869404932613,0.461,0.146,0,"FAPs (Stem)","Tek"
"Ramp2",0,0.787019367797392,0.802,0.643,0,"FAPs (Stem)","Ramp2"
"Hspb8",0,0.775936232586333,0.576,0.329,0,"FAPs (Stem)","Hspb8"
"Tmeff2",0,0.77164425855635,0.528,0.24,0,"FAPs (Stem)","Tmeff2"
"Serpinb6a",0,0.77118077068043,0.942,0.852,0,"FAPs (Stem)","Serpinb6a"
"Fhl1",0,0.766001556322395,0.657,0.418,0,"FAPs (Stem)","Fhl1"
"Fstl1",0,0.758721767422838,0.986,0.936,0,"FAPs (Stem)","Fstl1"
"Arl4d",0,0.757939595305262,0.334,0.065,0,"FAPs (Stem)","Arl4d"
"Ace",0,0.757370915355204,0.747,0.539,0,"FAPs (Stem)","Ace"
"Ifi27l2a",0,0.751856879315119,0.694,0.495,0,"FAPs (Stem)","Ifi27l2a"
"Limch1",0,0.75007246542585,0.326,0.044,0,"FAPs (Stem)","Limch1"
"Thy1",0,0.746825113518863,0.696,0.566,0,"FAPs (Stem)","Thy1"
"S100a13",0,0.739048451091223,0.938,0.851,0,"FAPs (Stem)","S100a13"
