"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mrpl15",0,0.294105818740014,0.289,0.062,0
"Tcea1",0,0.309463936151597,0.349,0.082,0
"Rb1cc1",0,-2.01492037316943,0.296,0.615,0
"Pcmtd1",0,-0.95288713351505,0.248,0.313,0
"Rrs1",0,0.341307063740681,0.182,0.034,0
"Snhg6",0,0.618529135828608,0.283,0.011,0
"Slco5a1",0,-1.72589561260654,0.005,0.337,0
"Tram1",0,1.02239037651578,0.445,0.014,0
"Rpl7",0,4.18126474139889,0.949,0.006,0
"Tceb1",0,1.37953574316613,0.564,0.022,0
"Tmem70",0,0.316559705104528,0.184,0.017,0
"Ly96",0,0.396491974725428,0.176,0.001,0
"Jph1",0,-2.71784925802306,0.027,0.623,0
"Gdap1",0,-1.41085403250205,0.001,0.219,0
"Ogfrl1",0,0.434026574387601,0.195,0.011,0
"Smap1",0,0.39885543048384,0.368,0.074,0
"1110058L19Rik",0,0.418073247194944,0.216,0.008,0
"Fam135a",0,-0.514303577860468,0.037,0.101,0
"Ptp4a1",0,1.40086273417244,0.549,0.053,0
"Dst",0,-3.43792346039502,0.262,0.9,0
"Ccdc115",0,0.363990751339218,0.21,0.018,0
"Imp4",0,0.434019738346387,0.208,0.005,0
"Ptpn18",0,1.66090935391516,0.401,0.012,0
"Neurl3",0,0.558021300425814,0.175,0.003,0
"Arid5a",0,0.55026937225397,0.205,0.024,0
"Kansl3",0,-1.01305139369104,0.104,0.229,0
"Ankrd23",0,-2.70267172347295,0.019,0.521,0
"Sema4c",0,0.252893356125768,0.104,0.017,0
"Cox5b",0,2.03933972452546,0.726,0.026,0
"Coa5",0,0.347706830213642,0.213,0.017,0
"Unc50",0,0.516852354661673,0.278,0.018,0
"Mrpl30",0,1.11643806674747,0.504,0.03,0
"Txndc9",0,0.416605630690792,0.35,0.067,0
"Rev1",0,-0.702910219183376,0.08,0.152,0
"Pdcl3",0,0.701479741904634,0.363,0.027,0
"Rpl31",0,3.66479571571993,0.903,0.012,0
"Rnf149",0,0.503625879721821,0.221,0.028,0
"Map4k4",0,0.407695348317617,0.321,0.06,0
"Il1r1",0,0.265095878800935,0.115,0.011,0
"Tex30",0,0.280943261069401,0.13,0.007,0
"Ercc5",0,-0.65459240063589,0.068,0.135,0
"Col3a1",0,3.05568886497012,0.293,0.063,0
"Col5a2",0,1.29397690367456,0.234,0.043,0
"Sdpr",0,1.71074448668737,0.221,0.016,0
"Stat1",0,0.453093375840031,0.216,0.025,0
"Nab1",0,0.584008424597223,0.277,0.017,0
"Asnsd1",0,0.395869859441951,0.223,0.014,0
"Stk17b",0,0.972967089839483,0.279,0.005,0
"Sf3b1",0,-0.93215469942838,0.645,0.641,0
"Coq10b",0,0.67067117639841,0.371,0.06,0
"Hspd1",0,1.44139557978216,0.504,0.084,0
"Hspe1",0,2.46843865961859,0.705,0.021,0
"Mob4",0,0.310205315519415,0.33,0.081,0
"Aox1",0,-1.26645377693043,0.026,0.229,0
"Bzw1",0,1.18127777891988,0.497,0.028,0
"Clk1",0,-1.66655574900128,0.53,0.733,0
"Fam126b",0,-0.756211922167108,0.073,0.147,0
"Ndufb3",0,1.09766186198523,0.515,0.038,0
"Cflar",0,0.301627936546228,0.366,0.115,0
"Casp8",0,0.557318769055034,0.246,0.006,0
"Trak2",0,-0.996188239642907,0.119,0.219,0
"Stradb",0,-1.14572031495539,0.06,0.227,0
"Sumo1",0,1.41061052779153,0.61,0.032,0
"Nop58",0,0.95720560666312,0.352,0.064,0
