"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Aqp1",0,2.04763795780544,0.958,0.543,0,"Endothelial (Capillary)","Aqp1"
"Timp4",0,1.59883630347538,0.678,0.373,0,"Endothelial (Capillary)","Timp4"
"Lpl",0,1.42267586467959,0.726,0.392,0,"Endothelial (Capillary)","Lpl"
"Car4",0,1.3444505967619,0.47,0.168,0,"Endothelial (Capillary)","Car4"
"Trp53i11",0,1.25062111936915,0.385,0.125,0,"Endothelial (Capillary)","Trp53i11"
"Gpihbp1",0,1.1774610915159,0.923,0.644,0,"Endothelial (Capillary)","Gpihbp1"
"Car8",0,1.02122643049379,0.518,0.289,0,"Endothelial (Capillary)","Car8"
"Rgcc",0,1.01034941147237,0.898,0.654,0,"Endothelial (Capillary)","Rgcc"
"Ccdc85a",0,0.900155682456803,0.397,0.184,0,"Endothelial (Capillary)","Ccdc85a"
"Kdr",0,0.892348671533326,0.748,0.566,0,"Endothelial (Capillary)","Kdr"
"Smco4",0,0.873697857416031,0.595,0.449,0,"Endothelial (Capillary)","Smco4"
"Slc28a2",0,0.865913308727867,0.391,0.206,0,"Endothelial (Capillary)","Slc28a2"
"Tspan15",0,0.835505274573771,0.337,0.16,0,"Endothelial (Capillary)","Tspan15"
"Jam3",0,0.829599033560189,0.296,0.12,0,"Endothelial (Capillary)","Jam3"
"Sgk1",0,0.826739519623176,0.752,0.637,0,"Endothelial (Capillary)","Sgk1"
"Gng11",0,0.814978757157242,0.921,0.849,0,"Endothelial (Capillary)","Gng11"
"1810011O10Rik",0,0.80863323288667,0.631,0.459,0,"Endothelial (Capillary)","1810011O10Rik"
"Tspan13",0,0.798270080215922,0.91,0.815,0,"Endothelial (Capillary)","Tspan13"
"Lims2",0,0.79749238926451,0.711,0.572,0,"Endothelial (Capillary)","Lims2"
"Ctsl",0,0.797458933078646,0.736,0.645,0,"Endothelial (Capillary)","Ctsl"
"C1qtnf9",0,0.786789611066975,0.767,0.619,0,"Endothelial (Capillary)","C1qtnf9"
