"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chi3l3",0,2.2140327148743,0.558,0.294,0,"Monocyte (Patrolling)","Chi3l3"
"Plac8",0,2.20925387612927,0.675,0.281,0,"Monocyte (Patrolling)","Plac8"
"Clec4e",0,2.06691065845297,0.642,0.182,0,"Monocyte (Patrolling)","Clec4e"
"Cxcl3",0,2.02992506154898,0.191,0.054,0,"Monocyte (Patrolling)","Cxcl3"
"Cxcl2",0,2.02786899642002,0.67,0.43,0,"Monocyte (Patrolling)","Cxcl2"
"Vcan",0,1.87081786904832,0.39,0.061,0,"Monocyte (Patrolling)","Vcan"
"Thbs1",0,1.84712515966228,0.749,0.468,0,"Monocyte (Patrolling)","Thbs1"
"Ly6c2",0,1.82727635231206,0.653,0.262,0,"Monocyte (Patrolling)","Ly6c2"
"Il1b",0,1.81202116370755,0.658,0.378,0,"Monocyte (Patrolling)","Il1b"
"Hp",0,1.75118588978818,0.449,0.063,0,"Monocyte (Patrolling)","Hp"
"Slpi",0,1.65272504558718,0.357,0.08,0,"Monocyte (Patrolling)","Slpi"
"Fn1",0,1.56571928126152,0.64,0.312,0,"Monocyte (Patrolling)","Fn1"
"F10",0,1.50052919415632,0.509,0.142,0,"Monocyte (Patrolling)","F10"
"Ifitm6",0,1.39130026711516,0.425,0.099,0,"Monocyte (Patrolling)","Ifitm6"
"Ccl6",0,1.38753161318623,0.898,0.703,0,"Monocyte (Patrolling)","Ccl6"
"Cd14",0,1.33300199292907,0.907,0.773,0,"Monocyte (Patrolling)","Cd14"
"Srgn",0,1.28116566253822,0.979,0.887,0,"Monocyte (Patrolling)","Srgn"
"Ccl9",0,1.2740727710718,0.898,0.667,0,"Monocyte (Patrolling)","Ccl9"
"Cebpb",0,1.22093303829193,0.956,0.784,0,"Monocyte (Patrolling)","Cebpb"
"Gsr",0,1.20541933476556,0.441,0.161,0,"Monocyte (Patrolling)","Gsr"
"S100a4",0,1.19000858654823,0.915,0.701,0,"Monocyte (Patrolling)","S100a4"
"Ptgs2",0,1.17894205007528,0.295,0.115,0,"Monocyte (Patrolling)","Ptgs2"
"Gda",0,1.175708691657,0.593,0.248,0,"Monocyte (Patrolling)","Gda"
"Dmkn",0,1.17390966657928,0.315,0.05,0,"Monocyte (Patrolling)","Dmkn"
"Clec4d",0,1.1554343412588,0.669,0.401,0,"Monocyte (Patrolling)","Clec4d"
"Ms4a4c",0,1.10543747667771,0.767,0.482,0,"Monocyte (Patrolling)","Ms4a4c"
"Slc16a3",0,1.10044376509126,0.471,0.174,0,"Monocyte (Patrolling)","Slc16a3"
"Slfn2",0,1.09255131864149,0.895,0.744,0,"Monocyte (Patrolling)","Slfn2"
"Ccr2",0,1.08701648208595,0.781,0.43,0,"Monocyte (Patrolling)","Ccr2"
"Ifitm3",0,1.07131224938244,0.979,0.924,0,"Monocyte (Patrolling)","Ifitm3"
"Emilin2",0,1.06481822729997,0.707,0.422,0,"Monocyte (Patrolling)","Emilin2"
"Cd44",0,1.05230727789837,0.873,0.697,0,"Monocyte (Patrolling)","Cd44"
"Slc7a11",0,1.03745674821432,0.277,0.078,0,"Monocyte (Patrolling)","Slc7a11"
"Ier3",0,1.0326250165407,0.838,0.676,0,"Monocyte (Patrolling)","Ier3"
"Ccr1",0,1.03070052877126,0.596,0.279,0,"Monocyte (Patrolling)","Ccr1"
"Il1rn",0,1.02127321556754,0.492,0.291,0,"Monocyte (Patrolling)","Il1rn"
"S100a6",0,1.01951974995035,0.962,0.858,0,"Monocyte (Patrolling)","S100a6"
"Sirpb1c",0,0.98319908643547,0.659,0.363,0,"Monocyte (Patrolling)","Sirpb1c"
"Nfkbia",0,0.959471132075452,0.839,0.755,0,"Monocyte (Patrolling)","Nfkbia"
"S100a10",0,0.955287200309022,0.883,0.77,0,"Monocyte (Patrolling)","S100a10"
"Emb",0,0.929732708352838,0.681,0.412,0,"Monocyte (Patrolling)","Emb"
"Ehd1",0,0.928625996441978,0.627,0.382,0,"Monocyte (Patrolling)","Ehd1"
"Plaur",0,0.920502518725311,0.682,0.421,0,"Monocyte (Patrolling)","Plaur"
"Mmp19",0,0.917094666310975,0.424,0.204,0,"Monocyte (Patrolling)","Mmp19"
"Prdx5",0,0.903235225826329,0.913,0.813,0,"Monocyte (Patrolling)","Prdx5"
"S100a11",0,0.899116645564296,0.884,0.768,0,"Monocyte (Patrolling)","S100a11"
"Nlrp3",0,0.893747282139397,0.548,0.303,0,"Monocyte (Patrolling)","Nlrp3"
"Hif1a",0,0.859320459061196,0.623,0.439,0,"Monocyte (Patrolling)","Hif1a"
"Ccl2",0,0.847149989807948,0.671,0.501,0,"Monocyte (Patrolling)","Ccl2"
"Tmsb10",0,0.837615051516229,0.955,0.871,0,"Monocyte (Patrolling)","Tmsb10"
"Sod2",0,0.834976981540177,0.697,0.529,0,"Monocyte (Patrolling)","Sod2"
"Cytip",0,0.820112408052928,0.671,0.366,0,"Monocyte (Patrolling)","Cytip"
"Gm9733",0,0.81496518766137,0.273,0.036,0,"Monocyte (Patrolling)","Gm9733"
"Ltb4r1",0,0.807059943832565,0.37,0.088,0,"Monocyte (Patrolling)","Ltb4r1"
"Anxa2",0,0.798134901748549,0.883,0.786,0,"Monocyte (Patrolling)","Anxa2"
"Tgfbi",0,0.797170628751664,0.923,0.825,0,"Monocyte (Patrolling)","Tgfbi"
"C3",0,0.794501426689458,0.411,0.147,0,"Monocyte (Patrolling)","C3"
"Lilrb4",0,0.791809773841174,0.848,0.678,0,"Monocyte (Patrolling)","Lilrb4"
"Ifitm2",0,0.789042940455276,0.957,0.875,0,"Monocyte (Patrolling)","Ifitm2"
"Plek",0,0.785184233262668,0.861,0.73,0,"Monocyte (Patrolling)","Plek"
"Pkm",0,0.782514266708052,0.909,0.808,0,"Monocyte (Patrolling)","Pkm"
"Coro1a",0,0.764588958552571,0.939,0.855,0,"Monocyte (Patrolling)","Coro1a"
"1110007C09Rik",0,0.736074221129492,0.769,0.615,0,"Monocyte (Patrolling)","1110007C09Rik"
"Smox",0,0.73012017999839,0.479,0.256,0,"Monocyte (Patrolling)","Smox"
"Fxyd5",0,0.725006241492351,0.975,0.892,0,"Monocyte (Patrolling)","Fxyd5"
"Tlr2",0,0.721094116775771,0.64,0.465,0,"Monocyte (Patrolling)","Tlr2"
"Jarid2",0,0.713426625358031,0.566,0.326,0,"Monocyte (Patrolling)","Jarid2"
"Il1a",0,0.709996477190511,0.127,0.037,0,"Monocyte (Patrolling)","Il1a"
"Nr4a2",0,0.708814325916467,0.553,0.345,0,"Monocyte (Patrolling)","Nr4a2"
"Btg1",0,0.70334540420305,0.955,0.879,0,"Monocyte (Patrolling)","Btg1"
"Msr1",0,0.694521024314474,0.615,0.439,0,"Monocyte (Patrolling)","Msr1"
"Mefv",0,0.690842257548104,0.387,0.155,0,"Monocyte (Patrolling)","Mefv"
"Ahnak",0,0.688212248573162,0.903,0.81,0,"Monocyte (Patrolling)","Ahnak"
"Klra2",0,0.678599221278644,0.327,0.072,0,"Monocyte (Patrolling)","Klra2"
"Itgam",0,0.675419096989547,0.723,0.575,0,"Monocyte (Patrolling)","Itgam"
"Ifi204",0,0.673382727788488,0.71,0.551,0,"Monocyte (Patrolling)","Ifi204"
"Napsa",0,0.670503037866707,0.682,0.409,0,"Monocyte (Patrolling)","Napsa"
"Diap1",0,0.665696468837913,0.66,0.476,0,"Monocyte (Patrolling)","Diap1"
"Cd52",0,0.665215096699537,0.988,0.914,0,"Monocyte (Patrolling)","Cd52"
"Adora2b",0,0.658925882027217,0.37,0.133,0,"Monocyte (Patrolling)","Adora2b"
"Vim",0,0.657623220830416,0.98,0.951,0,"Monocyte (Patrolling)","Vim"
"Itgb2",0,0.652899962770961,0.792,0.648,0,"Monocyte (Patrolling)","Itgb2"
"Pitpna",0,0.645048129341733,0.89,0.79,0,"Monocyte (Patrolling)","Pitpna"
"Zeb2",0,0.643444312123599,0.91,0.834,0,"Monocyte (Patrolling)","Zeb2"
"Flrt3",0,0.628214965479865,0.214,0.083,0,"Monocyte (Patrolling)","Flrt3"
"Eno1",0,0.626479387522064,0.724,0.59,0,"Monocyte (Patrolling)","Eno1"
"Ets2",0,0.619834008121399,0.558,0.348,0,"Monocyte (Patrolling)","Ets2"
"1810033B17Rik",0,0.613446569993215,0.297,0.068,0,"Monocyte (Patrolling)","1810033B17Rik"
