"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","is.trascr.factor","is.surface.protein"
"Phgdh",0,2.16626686900777,0.97,0.142,0,"1","Phgdh",FALSE,FALSE
"Asns",0,1.95650958038603,0.957,0.08,0,"1","Asns",FALSE,FALSE
"Mthfd2",0,1.75309156792854,0.983,0.15,0,"1","Mthfd2",FALSE,FALSE
"Nupr1",0,1.74768866741873,0.97,0.18,0,"1","Nupr1",FALSE,FALSE
"Psph",0,1.73606094107386,0.936,0.111,0,"1","Psph",FALSE,FALSE
"Gars",0,1.71936943486974,0.977,0.197,0,"1","Gars",FALSE,FALSE
"Slc7a5",0,1.6058637501382,0.977,0.155,0,"1","Slc7a5",FALSE,FALSE
"Psat1",0,1.55757556501571,0.967,0.121,0,"1","Psat1",FALSE,FALSE
"Csf1",0,1.39645845374467,0.853,0.128,0,"1","Csf1",FALSE,TRUE
"Fkbp11",0,1.30448595643217,0.729,0.073,0,"1","Fkbp11",FALSE,FALSE
"D17H6S56E-5",0,1.28702271254982,0.967,0.151,0,"1","D17H6S56E-5",FALSE,FALSE
"Cth",0,1.28358519197115,0.612,0.034,0,"1","Cth",FALSE,FALSE
"Shmt2",0,1.27608308013328,0.953,0.146,0,"1","Shmt2",FALSE,FALSE
"Chac1",0,1.05569677052054,0.763,0.073,0,"1","Chac1",FALSE,FALSE
"Fads3",0,1.01953880457014,0.836,0.102,0,"1","Fads3",FALSE,FALSE
"Bcat1",0,0.99749329156556,0.753,0.028,0,"1","Bcat1",FALSE,FALSE
"Slc19a1",0,0.948161798021081,0.809,0.092,0,"1","Slc19a1",FALSE,FALSE
"Rnd1",0,0.911158571833466,0.592,0.042,0,"1","Rnd1",FALSE,FALSE
"Aldh18a1",0,0.862800215692702,0.793,0.061,0,"1","Aldh18a1",FALSE,FALSE
"Pck2",0,0.830624292223861,0.766,0.062,0,"1","Pck2",FALSE,FALSE
"Arl14ep",0,0.764444736513395,0.786,0.096,0,"1","Arl14ep",FALSE,FALSE
"Sesn2",0,0.742446262635696,0.662,0.073,0,"1","Sesn2",FALSE,FALSE
"Ptrh1",0,0.740911528818559,0.716,0.088,0,"1","Ptrh1",FALSE,FALSE
