source,source.label,sample,chemistry,injury,injury.days,injury.agent,age,age.months,is.FACS,is.whole.muscle,material,type,tissue,mouse.strain,sex,mice.per.sample,SRR.accession,Sequencing.Instrument,Estimated.Number.of.Cells,Mean.Reads.per.Cell,Median.Genes.per.Cell,Number.of.Reads,Valid.Barcodes,Sequencing.Saturation,Q30.Bases.in.Barcode,Q30.Bases.in.RNA.Read,Q30.Bases.in.UMI,Reads.Mapped.to.Genome,Reads.Mapped.Confidently.to.Genome,Reads.Mapped.Confidently.to.Intergenic.Regions,Reads.Mapped.Confidently.to.Intronic.Regions,Reads.Mapped.Confidently.to.Exonic.Regions,Reads.Mapped.Confidently.to.Transcriptome,Reads.Mapped.Antisense.to.Gene,Fraction.Reads.in.Cells,Total.Genes.Detected,Median.UMI.Counts.per.Cell,soupx.rho
"Giordani et al, Molc Cell, 2019",Giordani 2019,Uninjured_WT_1,10x Genomics v2,D0,0,NA,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,M,1,SRR8352705,NextSeq 500,6896,74579,1003,514303302,97.3,86,93.5,45.4,91.9,60.3,57.9,3.4,14.7,39.8,37.4,0.9,93.6,18480,2369,0.023
"Giordani et al, Molc Cell, 2019",Giordani 2019,Uninjured_WT_2,10x Genomics v2,D0,0,NA,2mo,2,FALSE,TRUE,cells,Diss. (Whole Muscle),Hindlimb Muscles,C57BL/6JN,M,1,SRR8352706,NextSeq 500,6832,72348,NA,494287765,96.4,91.9,92.5,56.8,91.3,79.4,76.4,4.5,19.1,52.9,50.1,1.2,91.6,18222,1798,0.054
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,total_muscle_wt_rep1,10x Genomics v2,D0,0,NA,3mo,3,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR8602275,HiSeq 3000,2294,157487,1103,361275794,98.1,95.3,97.3,78.7,97,93.9,89.7,4.6,20.2,64.8,62.1,1.2,91.3,17671,2749,0.011
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,total_muscle_wt_rep2,10x Genomics v2,D0,0,NA,3mo,3,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR8602276,HiSeq 3000,2868,132951,1101,381305415,98.1,94.4,97.8,78.4,97.5,93.8,89.9,4.8,20.4,64.7,61.8,1.2,91.6,18105,2788,0.013
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,homeostatic_MuSCs_rep1,10x Genomics v2,D0,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,M,1,SRR8602277,HiSeq 3000,1738,222371,NA,386480806,97.8,96.5,98,79.3,98,91.4,87.3,4.9,25.6,56.8,53.7,1.6,79.9,14629,2134,NA
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,homeostatic_MuSCs_rep2,10x Genomics v2,D0,0,NA,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,M,1,SRR8602278,HiSeq 3000,1589,239088,NA,379911198,97.8,96.9,98.1,80.6,97.9,93.1,89.3,4.8,26.3,58.2,55,1.6,78.9,14326,2100,NA
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,inj_60h_MuSCs_rep1,10x Genomics v2,D2.5,2.5,notexin,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,F,1,SRR8602279,HiSeq 3000,1368,315058,1904,430999987,98,95.2,98.9,79.2,99,90.5,80.5,4.4,7.6,68.4,64,2.8,92.1,14908,6596,0.069
"Dell'Orso et al, Development, 2019",Dell'Orso 2019,inj_60h_MuSCs_rep2,10x Genomics v2,D2.5,2.5,notexin,3mo,3,TRUE,FALSE,cells,FACS (MuSCs),Tibialis Anterior,C57BL/6JN,F,1,SRR8602280,HiSeq 3000,2360,191799,1109,452646301,97.9,96.4,98.9,80.2,99,90.8,81.1,4.3,8.4,68.4,63.3,3.6,92.7,14669,2819,0.059
"Tabula Muris, Nature, 2018",Tabula Muris 2018,10X_P7_14,10x Genomics v2,D0,0,NA,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR6835866,NovaSeq 6000,2513,107250,1333,269519806,97.9,90.8,95.2,87.2,97,92.7,88.4,4.4,16.7,67.2,64.6,1.1,94,17952,3999,0.026
"Tabula Muris, Nature, 2018",Tabula Muris 2018,10X_P7_15,10x Genomics v2,D0,0,NA,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6JN,F,1,SRR6835867,NovaSeq 6000,2630,80607,1349,211996837,97.9,88.7,94.8,87.1,96.8,92.8,88.5,4.4,16.6,67.5,64.9,1.1,93.7,17869,3834,0.024
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D0_A,10x Genomics v2,D0,0,NA,7mo,7,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870296,NextSeq 500,3630,63002,NA,228700456,98.2,88.5,96.2,75.2,95.8,86.2,79.8,3.7,9.3,66.9,65.2,0.8,61.9,17950,1803,0.042
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D0_B,10x Genomics v2,D0,0,NA,7mo,7,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870297,NextSeq 500,5685,45167,NA,256778531,98.2,85.9,96.5,78.1,96.1,89.3,82.9,3.3,8.5,71,69.3,0.9,59.2,18250,1746,0.061
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D2_C,10x Genomics v2,D2,2,notexin,7mo,7,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870299,NextSeq 500,5946,24063,1757,143080183,98.2,50.2,96.7,68.4,96.4,83.2,73.8,3,7.7,63.1,60.6,0.9,94,18578,5261,0.026
"De Micheli et al, Cell Reports, 2020",De Micheli 2020a,D2_D,10x Genomics v2,D2,2,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,F,1,SRR10870300,NextSeq 500,3182,76402,1879,243114255,98,79.3,94.8,78.1,93.1,82.4,72.1,2.9,8.4,60.7,58.3,0.9,92.9,17787,6033,0.014
"De Micheli et al, unpublished",De Micheli 2020b,D2_Ev3,10x Genomics v3,D2,2,notexin,4mo,4,FALSE,TRUE,cells,Diss. (Whole Muscle),Tibialis Anterior,C57BL/6J,M,1,SRR12820638,NextSeq 500,4836,43136,2096,208607334,97.7,51,95.7,85.2,95,82.5,76.9,8.5,10.7,57.7,56.1,0.9,74.4,18604,5688,0.029
