"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pi16",0,3.15411600076181,0.89,0.079,0,"FAPs (Stem)","Pi16"
"Igfbp6",0,2.4155173214949,0.97,0.192,0,"FAPs (Stem)","Igfbp6"
"Clec3b",0,2.41349360999122,0.964,0.128,0,"FAPs (Stem)","Clec3b"
"Mfap5",0,2.29997007003735,0.98,0.154,0,"FAPs (Stem)","Mfap5"
"Igfbp5",0,2.28364749434532,0.726,0.154,0,"FAPs (Stem)","Igfbp5"
"Fbn1",0,2.15705456312104,0.94,0.161,0,"FAPs (Stem)","Fbn1"
"Has1",0,2.07554597368041,0.617,0.07,0,"FAPs (Stem)","Has1"
"Pcolce2",0,2.05435992782698,0.871,0.071,0,"FAPs (Stem)","Pcolce2"
"Fn1",0,2.01651288474752,0.968,0.274,0,"FAPs (Stem)","Fn1"
"Fstl1",0,1.9854232946223,0.981,0.226,0,"FAPs (Stem)","Fstl1"
"C3",0,1.9790969310543,0.833,0.171,0,"FAPs (Stem)","C3"
"Ugdh",0,1.97387500751752,0.85,0.216,0,"FAPs (Stem)","Ugdh"
"Tnfaip6",0,1.96645254568787,0.717,0.162,0,"FAPs (Stem)","Tnfaip6"
"Gsn",0,1.95802672897291,0.988,0.536,0,"FAPs (Stem)","Gsn"
"Dpt",0,1.95438793861726,0.964,0.173,0,"FAPs (Stem)","Dpt"
"Efemp1",0,1.92248769819306,0.836,0.063,0,"FAPs (Stem)","Efemp1"
"Ptx3",0,1.81643501412418,0.43,0.053,0,"FAPs (Stem)","Ptx3"
"Sema3c",0,1.81614114159253,0.804,0.058,0,"FAPs (Stem)","Sema3c"
"Cd248",0,1.77391775356181,0.846,0.078,0,"FAPs (Stem)","Cd248"
"Gfpt2",0,1.74820456858273,0.798,0.1,0,"FAPs (Stem)","Gfpt2"
"Cd34",0,1.72992472983966,0.96,0.255,0,"FAPs (Stem)","Cd34"
"Myoc",0,1.70467936149257,0.693,0.095,0,"FAPs (Stem)","Myoc"
"Adamts5",0,1.68825741774049,0.85,0.136,0,"FAPs (Stem)","Adamts5"
"Ackr3",0,1.67575555670646,0.859,0.133,0,"FAPs (Stem)","Ackr3"
"Tnxb",0,1.67514118331493,0.883,0.128,0,"FAPs (Stem)","Tnxb"
"Fndc1",0,1.6593247240274,0.897,0.127,0,"FAPs (Stem)","Fndc1"
"Uap1",0,1.63002939650782,0.83,0.282,0,"FAPs (Stem)","Uap1"
"Nid1",0,1.62934639522322,0.911,0.19,0,"FAPs (Stem)","Nid1"
"Cd55",0,1.60936764235653,0.767,0.078,0,"FAPs (Stem)","Cd55"
"Serping1",0,1.60363055276871,0.963,0.246,0,"FAPs (Stem)","Serping1"
"Ecm1",0,1.60233482824432,0.889,0.302,0,"FAPs (Stem)","Ecm1"
"Rarres2",0,1.600765372589,0.929,0.196,0,"FAPs (Stem)","Rarres2"
"Col14a1",0,1.55633401686945,0.798,0.095,0,"FAPs (Stem)","Col14a1"
"Pla1a",0,1.55596957745055,0.692,0.043,0,"FAPs (Stem)","Pla1a"
"Anxa3",0,1.54699449447112,0.879,0.349,0,"FAPs (Stem)","Anxa3"
"Col3a1",0,1.54611826045459,0.964,0.237,0,"FAPs (Stem)","Col3a1"
"Ppap2b",0,1.53654899111509,0.915,0.286,0,"FAPs (Stem)","Ppap2b"
"Scara5",0,1.50788780848085,0.796,0.071,0,"FAPs (Stem)","Scara5"
"Pcsk6",0,1.50060851820993,0.719,0.053,0,"FAPs (Stem)","Pcsk6"
"Timp2",0,1.48981574034066,0.975,0.492,0,"FAPs (Stem)","Timp2"
"Dcn",0,1.47856065596954,0.99,0.198,0,"FAPs (Stem)","Dcn"
"Axl",0,1.47360574521667,0.91,0.285,0,"FAPs (Stem)","Axl"
"Anxa1",0,1.46325600679647,0.937,0.43,0,"FAPs (Stem)","Anxa1"
"Ly6a",0,1.44481987539216,0.977,0.381,0,"FAPs (Stem)","Ly6a"
"Prss23",0,1.41783727119667,0.763,0.126,0,"FAPs (Stem)","Prss23"
"Tmem100",0,1.39068201833856,0.646,0.043,0,"FAPs (Stem)","Tmem100"
"Efhd1",0,1.38741301868167,0.682,0.02,0,"FAPs (Stem)","Efhd1"
"Ccl11",0,1.38172090146077,0.804,0.119,0,"FAPs (Stem)","Ccl11"
"Ogn",0,1.38040199107278,0.878,0.175,0,"FAPs (Stem)","Ogn"
"Htra3",0,1.37852470237274,0.885,0.176,0,"FAPs (Stem)","Htra3"
"Lrrn4cl",0,1.36544517602079,0.766,0.079,0,"FAPs (Stem)","Lrrn4cl"
"Rnase4",0,1.32954262059456,0.935,0.36,0,"FAPs (Stem)","Rnase4"
"Procr",0,1.32780600878743,0.624,0.089,0,"FAPs (Stem)","Procr"
"Mt2",0,1.31461875210922,0.877,0.335,0,"FAPs (Stem)","Mt2"
"S100a6",0,1.31199681968866,0.987,0.722,0,"FAPs (Stem)","S100a6"
"Islr",0,1.31030932110687,0.843,0.149,0,"FAPs (Stem)","Islr"
"Igfbp4",0,1.29858585148157,0.897,0.303,0,"FAPs (Stem)","Igfbp4"
"Aspn",0,1.28697554310908,0.758,0.127,0,"FAPs (Stem)","Aspn"
"Tppp3",0,1.26235389229813,0.811,0.268,0,"FAPs (Stem)","Tppp3"
"Loxl1",0,1.24192209457056,0.854,0.157,0,"FAPs (Stem)","Loxl1"
"Ebf1",0,1.23176106890934,0.924,0.254,0,"FAPs (Stem)","Ebf1"
"Ifi205",0,1.22457139834487,0.615,0.123,0,"FAPs (Stem)","Ifi205"
"Ace",0,1.21912006231871,0.738,0.119,0,"FAPs (Stem)","Ace"
"Pcolce",0,1.20314280071523,0.892,0.216,0,"FAPs (Stem)","Pcolce"
"Nov",0,1.19974490866486,0.587,0.044,0,"FAPs (Stem)","Nov"
"Gpr133",0,1.1947132972204,0.673,0.041,0,"FAPs (Stem)","Gpr133"
"Fbln2",0,1.17596991011524,0.866,0.231,0,"FAPs (Stem)","Fbln2"
"Gm12840",0,1.17456102277127,0.235,0.055,0,"FAPs (Stem)","Gm12840"
"Serpinf1",0,1.16832752040875,0.947,0.216,0,"FAPs (Stem)","Serpinf1"
"Col1a2",0,1.16227135188096,0.969,0.215,0,"FAPs (Stem)","Col1a2"
"Dpep1",0,1.15953775152928,0.729,0.105,0,"FAPs (Stem)","Dpep1"
"Serpinb6a",0,1.1459107832851,0.932,0.451,0,"FAPs (Stem)","Serpinb6a"
"Gstm1",0,1.14559728277198,0.867,0.393,0,"FAPs (Stem)","Gstm1"
"Nbl1",0,1.1428735327372,0.842,0.211,0,"FAPs (Stem)","Nbl1"
"Mmp2",0,1.14095812448457,0.887,0.193,0,"FAPs (Stem)","Mmp2"
"Thy1",0,1.13353524013351,0.686,0.13,0,"FAPs (Stem)","Thy1"
"C1s",0,1.12772531332193,0.813,0.151,0,"FAPs (Stem)","C1s"
"Mt1",0,1.12480528328926,0.943,0.587,0,"FAPs (Stem)","Mt1"
"Sparc",0,1.12436319899021,0.976,0.404,0,"FAPs (Stem)","Sparc"
