organism,ID_link,CSPA category,UP_Protein_name,UP_entry_name,CD,ENTREZ_gene_ID,ENTREZ gene symbol,protein probability,count detection in different cell types,Phobius TM predicted yes/no,# predicted TM domains,GPI,UniProt cell surface
Mouse,Q61391,1 - high confidence,Neprilysin,NEP_MOUSE,CD10,17380,Mme,1,13,1,1,0,yes
Mouse,O09126,1 - high confidence,Semaphorin-4D,SEM4D_MOUSE,CD100,20354,Sema4d,1,22,1,1,0,yes
Mouse,A8E0Y8,1 - high confidence,Immunoglobulin superfamily member 2,IGSF2_MOUSE,CD101,630146,Cd101,1,3,1,1,0,yes
Mouse,P35330,1 - high confidence,Intercellular adhesion molecule 2,ICAM2_MOUSE,CD102,15896,Icam2,1,9,1,1,0,yes
Mouse,Q60677,1 - high confidence,Integrin alpha-E,ITAE_MOUSE,CD103,16407,Itgae,0.9949,1,1,1,0,yes
Mouse,A2A863,1 - high confidence,Integrin beta-4,ITB4_MOUSE,CD104,192897,Itgb4,1,2,1,1,0,yes
Mouse,Q63961,1 - high confidence,Endoglin,EGLN_MOUSE,CD105,13805,Eng,1,9,1,1,0,yes
Mouse,P29533,1 - high confidence,Vascular cell adhesion protein 1,VCAM1_MOUSE,CD106,22329,Vcam1,1,16,1,1,1,yes
Mouse,P11438,1 - high confidence,Lysosome-associated membrane glycoprotein 1,LAMP1_MOUSE,CD107a,16783,Lamp1,1,28,1,1,0,yes
Mouse,P17047,1 - high confidence,Lysosome-associated membrane glycoprotein 2,LAMP2_MOUSE,CD107b,16784,Lamp2,1,28,1,1,0,yes
Mouse,Q9QUR8,1 - high confidence,Semaphorin-7A,SEM7A_MOUSE,CD108,20361,Sema7a,1,5,1,1,1,yes
Mouse,Q8R422,1 - high confidence,CD109 antigen,CD109_MOUSE,CD109,235505,Cd109,1,8,0,0,1,yes
Mouse,Q9JKF6,1 - high confidence,Poliovirus receptor-related protein 1,PVRL1_MOUSE,CD111,58235,Pvrl1,1,23,1,1,0,yes
Mouse,P32507,1 - high confidence,Poliovirus receptor-related protein 2,PVRL2_MOUSE,CD112,19294,Pvrl2,1,22,1,1,0,yes
Mouse,Q9JLB9,1 - high confidence,Poliovirus receptor-related protein 3,PVRL3_MOUSE,CD113,58998,Pvrl3,1,16,1,1,0,yes
Mouse,P09581,1 - high confidence,Macrophage colony-stimulating factor 1 receptor,CSF1R_MOUSE,CD115,12978,Csf1r,1,3,1,1,0,yes
Mouse,Q00941,1 - high confidence,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2R_MOUSE,CD116,12982,Csf2ra,1,9,1,1,0,yes
Mouse,P05532,1 - high confidence,Mast/stem cell growth factor receptor,KIT_MOUSE,CD117,16590,Kit,0.9966,6,1,1,0,yes
Mouse,P42703,1 - high confidence,Leukemia inhibitory factor receptor,LIFR_MOUSE,CD118,16880,Lifr,1,15,1,1,0,yes
Mouse,P24063,1 - high confidence,Integrin alpha-L,ITAL_MOUSE,CD11a,16408,Itgal,0.9999,11,1,1,0,yes
Mouse,P05555,1 - high confidence,Integrin alpha-M,ITAM_MOUSE,CD11b,16409,Itgam,1,8,1,1,0,yes
Mouse,Q9QXH4,1 - high confidence,Integrin alpha-X,ITAX_MOUSE,CD11c,16411,Itgax,1,1,1,1,0,yes
Mouse,Q3V0T4,1 - high confidence,Integrin alpha-D,ITAD_MOUSE,CD11d,381924,Itgad,1,2,1,1,0,yes
Mouse,P13504,1 - high confidence,Interleukin-1 receptor type 1,IL1R1_MOUSE,CD121a,16177,Il1r1,1,1,1,1,0,yes
